Player #,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Roman Burki,ch SUI,GK,32-351,33,1164,803,354,109,0,4,0,0,0,0,0,0,721,7,1
26,Tim Parker,us USA,DF,30-250,28.5,1169,1090,79,70,0,7,1,7,0,0,0,0,985,0,3
10,Eduard Lowen,de GER,MF,26-276,25.6,1429,1231,195,100,6,17,148,7,87,32,38,0,986,3,39
2,Jake Nerwinski,us USA,DF,29-014,24.6,1090,847,239,10,0,1,58,229,0,0,0,0,777,4,18
19,Indiana Vassilev,us USA,MF,22-257,23.5,786,695,89,30,1,4,89,2,55,23,24,0,570,2,20
8,Jared Stroud,us USA,"MF,FW",27-113,21.9,671,634,32,1,2,1,74,28,3,1,1,0,440,5,40
22,Kyle Hiebert,ca CAN,DF,26-093,23.6,938,829,108,13,0,1,9,95,0,0,0,0,686,1,12
11,Nicholas Gioacchini,us USA,FW,23-098,23.3,557,526,29,0,1,3,3,7,0,0,0,0,373,2,21
6,Njabulo Blom,za RSA,MF,23-324,21.3,726,714,12,9,1,3,6,3,0,0,0,0,600,0,12
9,Klauss,br BRA,FW,26-244,14.6,380,345,35,0,1,2,9,8,0,0,0,0,246,0,21
14,John Nelson,us USA,DF,25-112,14.1,651,501,149,5,0,2,32,144,0,0,0,0,462,1,16
7,Tomas Ostrak,cz CZE,"MF,FW",23-268,12.8,376,369,6,0,0,2,9,1,3,0,3,0,291,1,11
21,Rasmus Alm,se SWE,"MF,FW",28-075,12.2,304,289,13,2,1,3,33,5,6,2,2,0,179,2,16
25,Aziel Jackson,fr FRA,"MF,FW",22-007,12.4,352,327,22,3,2,1,17,2,8,0,7,0,273,3,8
24,Lucas Bartlett,us USA,DF,26-097,11.9,477,452,20,15,0,4,1,5,0,0,0,0,372,5,3
16,Samuel Adeniran,us USA,FW,25-031,10.5,163,151,12,0,0,1,15,2,0,0,0,0,91,0,9
20,Akil Watts,us USA,"DF,MF",23-269,9.8,403,319,83,8,0,1,29,75,0,0,0,0,293,1,9
12,Celio Pompeu,br BRA,"FW,MF",23-325,10.8,312,294,15,3,2,0,42,6,4,1,2,0,200,3,15
15,Joshua Yaro,gh GHA,DF,28-347,10.1,419,405,14,12,0,0,0,2,0,0,0,0,345,0,6
13,Anthony Markanich,us USA,DF,23-309,7.3,322,261,59,5,0,0,18,54,0,0,0,0,216,2,5
28,Miguel Perez,us USA,MF,18-186,6.8,254,254,0,0,1,1,2,0,0,0,0,0,181,0,8
4,Joakim Nilsson,se SWE,DF,29-267,6.6,279,270,9,5,0,0,0,4,0,0,0,0,243,0,3
23,Jon Bell,us USA,DF,26-066,1.6,65,61,4,4,0,0,0,0,0,0,0,0,50,0,1
29,Nokkvi Thorisson,is ISL,"FW,MF",24-079,3,76,71,5,1,0,0,5,3,0,0,0,0,57,0,3
39,Benjamin Lundt,de GER,GK,28-037,1,28,17,11,1,0,0,0,0,0,0,0,0,23,0,0
30,Isak Jensen,dk DEN,"MF,FW",19-312,1.6,56,54,2,0,1,0,2,1,1,0,0,0,37,0,3
17,Selmir Pidro,ba BIH,DF,25-242,0.5,19,17,2,0,1,0,0,2,0,0,0,0,16,0,0
41,John Klein,us USA,MF,23-348,0.3,12,12,0,0,0,0,0,0,0,0,0,0,6,0,2
46,Caden Glover,us USA,MF,16-237,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
