Player #,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp(S),Att(S),Cmp%(S),Cmp(M),Att(M),Cmp%(M),Cmp(L),Att(L),Cmp%(L),Ast,xAG,xA,A-xAG,KP,P-1/3,PPA,CrsPA,PrgP
1,Roman Burki,ch SUI,GK,32-351,33,721,1164,61.9,22577,18179,107,109,98.2,311,314,99,300,729,41.2,0,0.2,0.1,-0.2,3,32,2,0,1
26,Tim Parker,us USA,DF,30-250,28.5,985,1169,84.3,19954,8169,265,295,89.8,602,676,89.1,109,180,60.6,0,0,0.2,0,2,67,0,0,75
10,Eduard Lowen,de GER,MF,26-276,25.6,986,1429,69,18344,7670,451,550,82,352,465,75.7,156,324,48.1,9,3.7,4.9,5.3,46,151,42,9,199
2,Jake Nerwinski,us USA,DF,29-014,24.6,777,1090,71.3,13249,7545,380,445,85.4,308,438,70.3,78,165,47.3,2,1.1,1.6,0.9,15,86,26,14,104
19,Indiana Vassilev,us USA,MF,22-257,23.5,570,786,72.5,9987,3215,278,328,84.8,210,274,76.6,69,141,48.9,4,2.6,2.8,1.4,38,65,24,6,89
8,Jared Stroud,us USA,"MF,FW",27-113,21.9,440,671,65.6,7380,2211,202,266,75.9,184,247,74.5,37,78,47.4,5,2,1.9,3,23,35,23,13,50
22,Kyle Hiebert,ca CAN,DF,26-093,23.6,686,938,73.1,12416,5168,269,339,79.4,360,441,81.6,51,131,38.9,0,0.2,0.4,-0.2,8,58,2,1,79
11,Nicholas Gioacchini,us USA,FW,23-098,23.3,373,557,67,4903,1046,233,320,72.8,92,139,66.2,19,25,76,1,2.7,1.6,-1.7,31,24,14,1,46
6,Njabulo Blom,za RSA,MF,23-324,21.3,600,726,82.6,9969,3766,306,350,87.4,230,268,85.8,49,78,62.8,0,0.3,0.4,-0.3,12,90,1,0,81
9,Klauss,br BRA,FW,26-244,14.6,246,380,64.7,3569,906,133,187,71.1,82,112,73.2,13,29,44.8,2,0.7,1.2,1.3,14,23,13,2,38
14,John Nelson,us USA,DF,25-112,14.1,462,651,71,7336,3265,241,287,84,183,254,72,30,79,38,0,0.6,0.8,-0.6,10,32,8,5,52
7,Tomas Ostrak,cz CZE,"MF,FW",23-268,12.8,291,376,77.4,4702,1095,160,192,83.3,98,117,83.8,25,37,67.6,2,1.3,0.7,0.7,12,29,6,0,56
21,Rasmus Alm,se SWE,"MF,FW",28-075,12.2,179,304,58.9,2777,927,98,131,74.8,54,98,55.1,18,41,43.9,2,3.2,1.9,-1.2,18,13,12,6,25
25,Aziel Jackson,fr FRA,"MF,FW",22-007,12.4,273,352,77.6,4236,1260,141,162,87,93,111,83.8,24,42,57.1,4,2.1,2.3,1.9,20,24,21,3,55
24,Lucas Bartlett,us USA,DF,26-097,11.9,372,477,78,7293,2979,120,145,82.8,213,238,89.5,36,77,46.8,1,0.5,0.5,0.5,5,30,4,1,36
16,Samuel Adeniran,us USA,FW,25-031,10.5,91,163,55.8,1426,270,45,80,56.3,25,41,61,11,16,68.8,1,1.3,0.6,-0.3,5,6,6,2,12
20,Akil Watts,us USA,"DF,MF",23-269,9.8,293,403,72.7,4559,1719,147,173,85,116,146,79.5,16,52,30.8,1,0.7,0.6,0.3,9,31,6,3,32
12,Celio Pompeu,br BRA,"FW,MF",23-325,10.8,200,312,64.1,2830,985,123,150,82,58,94,61.7,12,36,33.3,0,1.5,1.6,-1.5,20,13,14,5,25
15,Joshua Yaro,gh GHA,DF,28-347,10.1,345,419,82.3,6851,2518,97,108,89.8,215,236,91.1,31,63,49.2,0,0.1,0.1,-0.1,2,27,0,0,29
13,Anthony Markanich,us USA,DF,23-309,7.3,216,322,67.1,3672,1564,101,130,77.7,97,139,69.8,14,39,35.9,0,1.4,0.4,-1.4,9,26,4,0,18
28,Miguel Perez,us USA,MF,18-186,6.8,181,254,71.3,2992,1008,87,125,69.6,79,91,86.8,12,20,60,0,0.5,0.3,-0.5,9,28,3,0,29
4,Joakim Nilsson,se SWE,DF,29-267,6.6,243,279,87.1,4653,2147,83,90,92.2,142,152,93.4,18,31,58.1,0,0,0.1,0,1,11,0,0,14
23,Jon Bell,us USA,DF,26-066,1.6,50,65,76.9,1067,449,9,11,81.8,33,37,89.2,8,15,53.3,0,0,0,0,0,3,0,0,1
29,Nokkvi Thorisson,is ISL,"FW,MF",24-079,3,57,76,75,805,172,36,42,85.7,19,21,90.5,1,7,14.3,0,0,0.1,0,2,3,2,0,5
39,Benjamin Lundt,de GER,GK,28-037,1,23,28,82.1,532,405,3,3,100,15,15,100,5,9,55.6,0,0,0,0,0,0,0,0,0
30,Isak Jensen,dk DEN,"MF,FW",19-312,1.6,37,56,66.1,411,125,25,28,89.3,7,14,50,0,3,0,0,0,0,0,1,1,1,0,5
17,Selmir Pidro,ba BIH,DF,25-242,0.5,16,19,84.2,215,162,8,9,88.9,7,8,87.5,0,0,0,0,0.2,0.2,-0.2,1,1,0,0,2
41,John Klein,us USA,MF,23-348,0.3,6,12,50,112,30,4,7,57.1,1,2,50,1,1,100,0,0,0,0,0,1,0,0,2
46,Caden Glover,us USA,MF,16-237,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
