Player ID,Player,#,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls(90),Ast(90),G+A(90),G-PK(90),G+A-PK(90),xG(90),xAG(90),xG+xAG(90),npxG(90),npxG+xAG(90),Matches
0,Roman Bürki,1,ch SUI,GK,32-351,33,33,2970,33,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
1,Tim Parker,26,us USA,DF,30-250,29,29,2565,28.5,4,0,4,4,0,0,10,0,1.5,1.5,0,1.5,4,75,3,0.14,0,0.14,0.14,0.14,0.05,0,0.05,0.05,0.05,Matches
2,Eduard Löwen,10,de GER,MF,26-276,29,25,2308,25.6,6,9,15,3,3,3,3,0,5.3,2.9,3.7,6.7,76,199,100,0.23,0.35,0.58,0.12,0.47,0.21,0.14,0.35,0.11,0.26,Matches
3,Jake Nerwinski,2,us USA,DF,29-014,29,25,2211,24.6,0,2,2,0,0,0,5,1,0.1,0.1,1.1,1.2,31,104,55,0,0.08,0.08,0,0.08,0,0.04,0.05,0,0.05,Matches
4,Indiana Vassilev,19,us USA,MF,22-257,34,25,2112,23.5,2,4,6,2,0,0,2,0,2.2,2.2,2.6,4.8,49,89,71,0.09,0.17,0.26,0.09,0.26,0.09,0.11,0.2,0.09,0.2,Matches
5,Jared Stroud,8,us USA,"MF,FW",27-113,31,25,1971,21.9,5,5,10,5,0,0,8,0,4.1,4.1,2,6.1,50,50,143,0.23,0.23,0.46,0.23,0.46,0.19,0.09,0.28,0.19,0.28,Matches
6,Kyle Hiebert,22,ca CAN,DF,26-093,27,24,2128,23.6,2,0,2,2,0,0,6,1,1.2,1.2,0.2,1.4,14,79,19,0.08,0,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06,Matches
7,Nicholas Gioacchini,11,us USA,FW,23-098,32,24,2095,23.3,10,1,11,9,1,1,2,0,7.5,6.7,2.7,9.4,24,46,144,0.43,0.04,0.47,0.39,0.43,0.32,0.12,0.44,0.29,0.4,Matches
8,Njabulo Blom,6,za RSA,MF,23-324,26,21,1915,21.3,1,0,1,1,0,0,6,0,0.4,0.4,0.3,0.7,8,81,17,0.05,0,0.05,0.05,0.05,0.02,0.02,0.03,0.02,0.03,Matches
9,Klauss,9,br BRA,FW,26-244,19,14,1315,14.6,10,2,12,10,0,0,1,0,5.8,5.8,0.7,6.6,15,38,94,0.68,0.14,0.82,0.68,0.82,0.4,0.05,0.45,0.4,0.45,Matches
10,John Nelson,14,us USA,DF,25-112,17,14,1266,14.1,0,0,0,0,0,0,2,1,0.4,0.4,0.6,1,14,52,55,0,0,0,0,0,0.03,0.05,0.07,0.03,0.07,Matches
11,Tomáš Ostrák,7,cz CZE,"MF,FW",23-268,30,13,1151,12.8,3,2,5,3,0,0,7,0,2.3,2.3,1.3,3.6,29,56,79,0.23,0.16,0.39,0.23,0.39,0.18,0.1,0.28,0.18,0.28,Matches
12,Rasmus Alm,21,se SWE,"MF,FW",28-075,21,13,1096,12.2,3,2,5,3,0,0,4,0,1.7,1.7,3.2,4.9,20,25,81,0.25,0.16,0.41,0.25,0.41,0.14,0.26,0.41,0.14,0.41,Matches
13,Aziel Jackson,25,fr FRA,"MF,FW",22-007,25,12,1119,12.4,1,4,5,1,0,0,3,0,1.8,1.8,2.1,4,28,55,69,0.08,0.32,0.4,0.08,0.4,0.15,0.17,0.32,0.15,0.32,Matches
14,Lucas Bartlett,24,us USA,DF,26-097,14,12,1067,11.9,0,1,1,0,0,0,4,0,0.8,0.8,0.5,1.2,5,36,3,0,0.08,0.08,0,0.08,0.06,0.04,0.1,0.06,0.1,Matches
15,Samuel Adeniran,16,us USA,FW,25-031,18,11,949,10.5,8,1,9,7,1,1,3,1,3.9,3.1,1.3,4.4,32,12,46,0.76,0.09,0.85,0.66,0.76,0.37,0.12,0.49,0.29,0.42,Matches
16,Akil Watts,20,us USA,"DF,MF",23-269,18,11,880,9.8,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,17,32,27,0,0.1,0.1,0,0.1,0.01,0.07,0.08,0.01,0.08,Matches
17,Célio Pompeu,12,br BRA,"FW,MF",23-325,26,9,975,10.8,1,0,1,1,0,0,2,0,1.9,1.9,1.5,3.4,59,25,88,0.09,0,0.09,0.09,0.09,0.18,0.14,0.32,0.18,0.32,Matches
18,Joshua Yaro,15,gh GHA,DF,28-347,16,9,907,10.1,0,0,0,0,0,0,2,0,0,0,0.1,0.1,3,29,1,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
19,Anthony Markanich,13,us USA,DF,23-309,10,7,656,7.3,1,0,1,1,0,0,4,0,0.3,0.3,1.4,1.7,16,18,18,0.14,0,0.14,0.14,0.14,0.04,0.19,0.24,0.04,0.24,Matches
20,Miguel Perez,28,us USA,MF,18-186,15,7,610,6.8,1,0,1,1,0,0,2,0,1.2,1.2,0.5,1.7,4,29,12,0.15,0,0.15,0.15,0.15,0.18,0.08,0.26,0.18,0.26,Matches
21,Joakim Nilsson,4,se SWE,DF,29-267,8,7,593,6.6,0,0,0,0,0,0,1,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Jon Bell,23,us USA,DF,26-066,3,2,142,1.6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Nökkvi Þórisson,29,is ISL,"FW,MF",24-079,9,1,268,3,1,0,1,1,0,0,0,0,0.3,0.3,0,0.4,7,5,16,0.34,0,0.34,0.34,0.34,0.11,0.01,0.12,0.11,0.12,Matches
24,Benjamin Lundt,39,de GER,GK,28-037,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Isak Jensen,30,dk DEN,"MF,FW",19-312,11,0,144,1.6,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,10,5,5,0,0,0,0,0,0.23,0.03,0.25,0.23,0.25,Matches
26,Selmir Pidro,17,ba BIH,DF,25-242,2,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,2,0,0,0,0,0,0,0,0.44,0.44,0,0.44,Matches
27,John Klein,41,us USA,MF,23-348,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,Matches
28,Caden Glover,46,us USA,MF,16-237,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Max Schneider,de GER,MF,23-095,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,
30,Squad Total,,,26.5,34,374,3060,34,59,34,93,54,5,5,80,4,42.6,38.7,26.9,65.6,518,1160,1147,1.74,1,2.74,1.59,2.59,1.25,0.79,2.05,1.14,1.93,,
31,Opponent Total,,,28.0,34,374,3060,34,43,31,74,36,7,7,81,1,50.1,45,36.3,81.3,510,1405,1389,1.26,0.91,2.18,1.06,1.97,1.47,1.07,2.54,1.32,2.39,,
